,Names,Type,Extracted Value,Extracted Unit,Normalised value,Normalised units,doi,publisher,title,authors,filename,Correctness,Tag
0,Ni0.6Zn0.4Fe2O4,Curie,663,K,663,K,10.1039/d0ra05522k,Royal Society of Chemistry,Magnetic and spectroscopic properties of Ni–Zn–Al ferrite spinel: from the nanoscale to microscale,"['Jalel Massoudi', 'Mourad Smari', 'Kamel Nouri', 'Essebti Dhahri', 'Kamel Khirouni', 'Sylvain Bertaina', 'Lotfi Bessais', 'El Kebir Hlil', 'Jalel Massoudi', 'Mourad Smari', 'Kamel Nouri', 'Essebti Dhahri', 'Kamel Khirouni', 'Sylvain Bertaina', 'Lotfi Bessais', 'El Kebir Hlil']",./test/curie_paper1-Copy1.html,None,CDE
1,NiFe2O4,Curie,883,K,883,K,10.1039/d0ra05522k,Royal Society of Chemistry,Magnetic and spectroscopic properties of Ni–Zn–Al ferrite spinel: from the nanoscale to microscale,"['Jalel Massoudi', 'Mourad Smari', 'Kamel Nouri', 'Essebti Dhahri', 'Kamel Khirouni', 'Sylvain Bertaina', 'Lotfi Bessais', 'El Kebir Hlil', 'Jalel Massoudi', 'Mourad Smari', 'Kamel Nouri', 'Essebti Dhahri', 'Kamel Khirouni', 'Sylvain Bertaina', 'Lotfi Bessais', 'El Kebir Hlil']",./test/curie_paper1-Copy1.html,None,CDE
2,NiFe2O4,Curie,>800,K,>800,K,10.1039/d0ra05522k,Royal Society of Chemistry,Magnetic and spectroscopic properties of Ni–Zn–Al ferrite spinel: from the nanoscale to microscale,"['Jalel Massoudi', 'Mourad Smari', 'Kamel Nouri', 'Essebti Dhahri', 'Kamel Khirouni', 'Sylvain Bertaina', 'Lotfi Bessais', 'El Kebir Hlil', 'Jalel Massoudi', 'Mourad Smari', 'Kamel Nouri', 'Essebti Dhahri', 'Kamel Khirouni', 'Sylvain Bertaina', 'Lotfi Bessais', 'El Kebir Hlil']",./test/curie_paper1-Copy1.html,None,CDE
3,Ni0.6Zn0.4Fe2O4,Curie,663,K,663,K,10.1039/d0ra05522k,Royal Society of Chemistry,Magnetic and spectroscopic properties of Ni–Zn–Al ferrite spinel: from the nanoscale to microscale,"['Jalel Massoudi', 'Mourad Smari', 'Kamel Nouri', 'Essebti Dhahri', 'Kamel Khirouni', 'Sylvain Bertaina', 'Lotfi Bessais', 'El Kebir Hlil', 'Jalel Massoudi', 'Mourad Smari', 'Kamel Nouri', 'Essebti Dhahri', 'Kamel Khirouni', 'Sylvain Bertaina', 'Lotfi Bessais', 'El Kebir Hlil']",./test/curie_paper1.html,None,CDE
4,NiFe2O4,Curie,883,K,883,K,10.1039/d0ra05522k,Royal Society of Chemistry,Magnetic and spectroscopic properties of Ni–Zn–Al ferrite spinel: from the nanoscale to microscale,"['Jalel Massoudi', 'Mourad Smari', 'Kamel Nouri', 'Essebti Dhahri', 'Kamel Khirouni', 'Sylvain Bertaina', 'Lotfi Bessais', 'El Kebir Hlil', 'Jalel Massoudi', 'Mourad Smari', 'Kamel Nouri', 'Essebti Dhahri', 'Kamel Khirouni', 'Sylvain Bertaina', 'Lotfi Bessais', 'El Kebir Hlil']",./test/curie_paper1.html,None,CDE
5,NiFe2O4,Curie,>800,K,>800,K,10.1039/d0ra05522k,Royal Society of Chemistry,Magnetic and spectroscopic properties of Ni–Zn–Al ferrite spinel: from the nanoscale to microscale,"['Jalel Massoudi', 'Mourad Smari', 'Kamel Nouri', 'Essebti Dhahri', 'Kamel Khirouni', 'Sylvain Bertaina', 'Lotfi Bessais', 'El Kebir Hlil', 'Jalel Massoudi', 'Mourad Smari', 'Kamel Nouri', 'Essebti Dhahri', 'Kamel Khirouni', 'Sylvain Bertaina', 'Lotfi Bessais', 'El Kebir Hlil']",./test/curie_paper1.html,None,CDE
